job_title,experience_years,education_level,skills_count,industry,company_size,location,salary
Data Scientist,7,Diploma,9,Technology,Medium,USA,185573
Data Analyst,2,Diploma,20,Finance,Large,Germany,97717
Software Engineer,4,Diploma,3,Technology,Medium,India,34874
Backend Developer,5,Bachelor,15,Healthcare,Medium,UK,151573
Software Engineer,16,Diploma,17,Technology,Medium,Germany,167143
Cybersecurity Analyst,10,Diploma,16,Media,Enterprise,India,58179
Business Analyst,1,Master,4,Manufacturing,Large,USA,127904
Frontend Developer,18,Master,11,Consulting,Small,USA,251993
Backend Developer,12,Master,8,Consulting,Enterprise,India,76394
Cloud Engineer,6,Bachelor,3,Government,Enterprise,UK,167212
Data Analyst,9,Bachelor,19,Technology,Startup,India,31852
Cloud Engineer,2,Bachelor,14,Healthcare,Small,USA,91227
Data Scientist,4,Diploma,9,Consulting,Startup,India,36498
Software Engineer,2,Bachelor,3,Technology,Large,Sweden,150066
DevOps Engineer,7,Bachelor,4,Technology,Medium,India,40891
Business Analyst,22,Master,4,Retail,Startup,Singapore,202617
Frontend Developer,3,Master,11,Consulting,Medium,Netherlands,133805
Business Analyst,4,Diploma,19,Healthcare,Medium,USA,119542
Software Engineer,5,Master,16,Healthcare,Large,Remote,228742
Data Analyst,3,Bachelor,17,Technology,Large,India,25000
Software Engineer,7,Bachelor,10,Technology,Medium,USA,196000
Frontend Developer,10,Diploma,17,Technology,Enterprise,USA,179856
Software Engineer,3,Diploma,16,Healthcare,Large,USA,129480
Frontend Developer,5,Diploma,20,Government,Large,USA,180991
Backend Developer,8,Bachelor,6,Retail,Large,India,57346
Software Engineer,2,Diploma,7,Technology,Startup,Australia,101142
Backend Developer,1,Bachelor,14,Government,Medium,Netherlands,89587
Software Engineer,3,PhD,11,Technology,Large,USA,249458
Software Engineer,8,Bachelor,12,Government,Medium,USA,195788
Software Engineer,2,Bachelor,14,Technology,Enterprise,USA,208029
Software Engineer,3,Bachelor,5,Education,Enterprise,Australia,132777
Data Scientist,5,Diploma,5,Consulting,Large,Australia,177153
Data Analyst,5,Bachelor,20,Technology,Medium,USA,127129
Software Engineer,4,High School,15,Finance,Large,USA,126647
Data Scientist,5,Bachelor,1,Technology,Enterprise,USA,279166
Backend Developer,1,Diploma,9,Healthcare,Small,USA,105274
Cloud Engineer,3,PhD,3,Telecom,Large,Singapore,160345
Data Analyst,9,High School,4,Finance,Enterprise,UK,288689
Software Engineer,2,Bachelor,16,Technology,Large,Canada,188918
Data Analyst,5,Bachelor,7,Technology,Startup,Germany,104429
Software Engineer,5,High School,14,Consulting,Medium,Australia,107666
Frontend Developer,8,Master,16,Technology,Startup,Germany,136351
Backend Developer,9,Diploma,18,Technology,Startup,Canada,91715
Frontend Developer,11,Master,16,Finance,Small,India,45351
Software Engineer,13,Diploma,16,Consulting,Large,USA,212104
Frontend Developer,2,Diploma,2,Technology,Large,Germany,98023
AI Engineer,0,Bachelor,10,Finance,Large,USA,191911
Business Analyst,3,Diploma,7,Technology,Enterprise,Singapore,60514
Cybersecurity Analyst,2,PhD,15,Technology,Medium,Singapore,112243
Software Engineer,2,High School,9,Consulting,Small,Sweden,83161
Data Scientist,7,Bachelor,7,Technology,Small,Canada,187660
Backend Developer,10,Master,16,Technology,Large,USA,215977
Frontend Developer,6,Bachelor,3,Technology,Small,USA,135270
Backend Developer,2,Bachelor,17,Education,Medium,Singapore,128593
Frontend Developer,6,Bachelor,8,Technology,Medium,USA,158997
Data Scientist,8,Diploma,2,Education,Large,USA,255609
Machine Learning Engineer,1,Master,20,Healthcare,Large,USA,221865
Cloud Engineer,3,Master,3,Healthcare,Medium,USA,219609
Cybersecurity Analyst,4,Bachelor,8,Technology,Enterprise,USA,181779
Business Analyst,4,Bachelor,2,Technology,Small,Germany,65837
Business Analyst,2,Bachelor,19,Healthcare,Large,Germany,100019
Business Analyst,6,PhD,17,Technology,Enterprise,USA,180390
Frontend Developer,6,Diploma,5,Education,Large,UK,123955
Data Analyst,2,Bachelor,20,Education,Enterprise,Canada,131859
Frontend Developer,12,Master,17,Consulting,Medium,India,47548
Frontend Developer,1,Master,10,Finance,Large,USA,131383
Software Engineer,2,Bachelor,9,Technology,Enterprise,Sweden,126462
Cybersecurity Analyst,1,Bachelor,6,Consulting,Medium,India,25000
Software Engineer,1,Diploma,11,Finance,Medium,USA,116896
Data Analyst,5,Bachelor,2,Healthcare,Medium,UK,124629
Machine Learning Engineer,2,Bachelor,12,Technology,Medium,USA,211452
Software Engineer,9,Master,12,Government,Medium,India,66134
Data Analyst,2,High School,16,Education,Startup,USA,81532
Software Engineer,2,Bachelor,12,Technology,Enterprise,USA,172117
Machine Learning Engineer,8,Master,18,Technology,Enterprise,India,77336
Data Analyst,1,Master,13,Finance,Large,Canada,94076
DevOps Engineer,3,Bachelor,15,Technology,Medium,Remote,146121
Backend Developer,12,Bachelor,16,Education,Large,UK,219811
Software Engineer,0,Bachelor,4,Retail,Medium,USA,109958
Software Engineer,1,High School,12,Consulting,Large,Singapore,96885
Software Engineer,13,Bachelor,17,Technology,Small,India,53815
Software Engineer,6,Master,1,Finance,Medium,Netherlands,138375
Product Manager,6,Master,18,Technology,Large,UK,253791
Software Engineer,1,Bachelor,16,Telecom,Large,India,25612
Data Analyst,5,Bachelor,1,Healthcare,Medium,Singapore,102457
Software Engineer,2,Master,10,Technology,Large,India,31502
Cloud Engineer,9,Bachelor,19,Retail,Large,Netherlands,207860
Data Analyst,9,Bachelor,16,Technology,Medium,India,38247
Business Analyst,3,Bachelor,14,Technology,Medium,Canada,73921
Software Engineer,7,PhD,2,Finance,Large,USA,186905
Data Analyst,6,Bachelor,6,Technology,Enterprise,USA,118719
Software Engineer,4,Bachelor,5,Finance,Medium,India,40995
Data Analyst,2,Bachelor,12,Technology,Medium,Australia,86980
Software Engineer,3,High School,4,Media,Large,Canada,106806
Software Engineer,9,Master,4,Technology,Medium,Germany,182196
Backend Developer,12,Master,5,Finance,Medium,Canada,184118
AI Engineer,3,Master,7,Technology,Enterprise,Germany,268838
AI Engineer,13,Bachelor,6,Technology,Enterprise,USA,350000
Machine Learning Engineer,6,PhD,13,Technology,Enterprise,UK,214695
Software Engineer,4,High School,4,Technology,Small,India,25000
Software Engineer,4,Bachelor,13,Education,Startup,Netherlands,95990
Data Analyst,2,Diploma,4,Finance,Large,Canada,115441
Software Engineer,7,Master,10,Technology,Small,USA,195152
Data Scientist,14,Master,20,Technology,Medium,USA,337230
Product Manager,4,Bachelor,1,Technology,Medium,Netherlands,197783
Software Engineer,2,Bachelor,8,Technology,Large,USA,208163
Software Engineer,8,PhD,7,Healthcare,Enterprise,USA,257794
Software Engineer,3,PhD,5,Technology,Large,UK,167233
Software Engineer,2,High School,3,Government,Medium,India,26855
Frontend Developer,1,Bachelor,15,Finance,Medium,USA,112520
Frontend Developer,7,Bachelor,17,Technology,Large,Canada,227812
Software Engineer,11,Bachelor,13,Finance,Medium,Singapore,130729
Software Engineer,1,Bachelor,15,Technology,Small,UK,109439
Software Engineer,3,Master,19,Telecom,Medium,USA,183795
Cloud Engineer,4,Bachelor,20,Telecom,Large,India,46370
AI Engineer,2,PhD,14,Technology,Large,Germany,257494
Frontend Developer,13,Bachelor,13,Technology,Large,India,43468
Software Engineer,1,Bachelor,12,Media,Large,Singapore,127546
Product Manager,6,Bachelor,9,Technology,Medium,Netherlands,154270
Data Analyst,7,Diploma,3,Finance,Large,Germany,122506
Frontend Developer,2,Bachelor,11,Finance,Medium,USA,140835
Frontend Developer,2,Bachelor,10,Healthcare,Large,USA,118332
Cloud Engineer,2,Bachelor,1,Technology,Enterprise,UK,189417
Data Analyst,0,Bachelor,17,Education,Medium,USA,108140
Business Analyst,3,Bachelor,13,Finance,Medium,Singapore,76849
Frontend Developer,3,Diploma,14,Healthcare,Medium,UK,96609
DevOps Engineer,17,Diploma,1,Technology,Enterprise,USA,224023
Software Engineer,0,Master,2,Technology,Small,UK,99531
Backend Developer,4,Master,2,Finance,Medium,USA,175184
DevOps Engineer,8,Bachelor,7,Technology,Large,Australia,350000
Software Engineer,15,High School,9,Finance,Medium,USA,175075
Software Engineer,1,Master,4,Technology,Large,USA,137353
AI Engineer,16,Bachelor,2,Technology,Large,India,96746
Software Engineer,3,Diploma,19,Technology,Enterprise,USA,123505
Frontend Developer,3,Bachelor,5,Technology,Medium,Netherlands,104568
Frontend Developer,1,Bachelor,9,Media,Medium,USA,93850
Data Analyst,5,Bachelor,13,Telecom,Small,USA,115656
Software Engineer,16,Diploma,12,Technology,Startup,India,44777
Frontend Developer,5,Bachelor,19,Finance,Enterprise,Canada,176847
Software Engineer,2,Bachelor,9,Technology,Enterprise,Remote,190191
Product Manager,2,Bachelor,10,Manufacturing,Large,USA,237078
DevOps Engineer,2,Diploma,19,Technology,Medium,Singapore,82093
Data Scientist,13,Bachelor,10,Finance,Medium,UK,238614
Business Analyst,15,Master,12,Consulting,Enterprise,USA,344384
Software Engineer,1,Master,14,Technology,Large,Netherlands,138481
Data Analyst,1,Bachelor,8,Finance,Medium,USA,203592
Frontend Developer,2,Master,16,Consulting,Medium,USA,152054
Cybersecurity Analyst,3,Bachelor,17,Technology,Enterprise,India,48622
Data Scientist,18,Diploma,20,Technology,Large,USA,292041
Software Engineer,16,Master,4,Finance,Large,USA,347948
Business Analyst,4,Bachelor,6,Technology,Large,Germany,113021
Business Analyst,3,Master,12,Technology,Large,Germany,91494
Data Analyst,0,Diploma,18,Education,Medium,Germany,66378
Data Analyst,5,PhD,7,Manufacturing,Small,USA,124637
DevOps Engineer,5,Diploma,5,Technology,Large,UK,117203
Data Analyst,1,Bachelor,10,Technology,Large,UK,78913
Cloud Engineer,6,Bachelor,6,Retail,Large,India,47435
AI Engineer,9,Diploma,14,Healthcare,Enterprise,India,67845
Business Analyst,1,Bachelor,6,Finance,Enterprise,India,29882
Cybersecurity Analyst,3,Bachelor,14,Media,Small,India,25000
Software Engineer,9,Bachelor,12,Manufacturing,Large,Canada,197435
Software Engineer,2,Bachelor,12,Education,Small,USA,136927
Software Engineer,3,Bachelor,8,Finance,Small,UK,112660
Cybersecurity Analyst,3,Diploma,10,Technology,Large,USA,182321
Product Manager,7,Bachelor,16,Technology,Enterprise,Remote,274034
Cybersecurity Analyst,10,Bachelor,20,Healthcare,Medium,India,62709
DevOps Engineer,14,Bachelor,8,Technology,Enterprise,USA,312920
Frontend Developer,10,Bachelor,9,Government,Medium,USA,163231
Data Analyst,4,Bachelor,13,Retail,Large,UK,119826
Software Engineer,7,Bachelor,20,Technology,Large,UK,156005
Software Engineer,1,High School,17,Government,Enterprise,UK,101792
Software Engineer,19,Bachelor,19,Technology,Large,India,78206
Software Engineer,2,Master,17,Finance,Large,Germany,163871
Product Manager,7,Bachelor,7,Healthcare,Enterprise,USA,285425
Data Analyst,5,Diploma,1,Technology,Large,USA,189161
Software Engineer,1,Diploma,20,Government,Enterprise,India,36872
Software Engineer,2,PhD,14,Telecom,Large,Remote,133255
DevOps Engineer,11,Master,17,Technology,Enterprise,USA,350000
Data Analyst,4,Bachelor,13,Government,Enterprise,India,45282
Data Analyst,2,Bachelor,2,Education,Enterprise,USA,151123
Machine Learning Engineer,3,PhD,14,Technology,Large,Canada,207704
Frontend Developer,2,Diploma,1,Technology,Large,USA,144972
Product Manager,3,Bachelor,5,Technology,Medium,Australia,202854
Data Scientist,1,Bachelor,7,Technology,Medium,Netherlands,125894
Machine Learning Engineer,4,Bachelor,19,Government,Enterprise,UK,156272
Data Analyst,5,Bachelor,14,Technology,Startup,USA,58322
DevOps Engineer,3,High School,14,Government,Large,Singapore,130148
Backend Developer,11,Diploma,15,Technology,Medium,USA,162955
Backend Developer,3,Bachelor,5,Healthcare,Large,UK,145785
Cloud Engineer,4,Master,5,Consulting,Large,USA,194849
DevOps Engineer,2,PhD,2,Telecom,Enterprise,UK,163856
Data Analyst,3,Diploma,18,Technology,Large,Germany,78143
Software Engineer,8,Master,9,Finance,Small,USA,182676
Software Engineer,1,Master,10,Technology,Medium,USA,173090
Software Engineer,6,Master,18,Technology,Large,Netherlands,170326
Backend Developer,2,Bachelor,4,Technology,Enterprise,India,38112
Software Engineer,1,Master,8,Manufacturing,Enterprise,USA,162670
Backend Developer,3,Diploma,18,Technology,Large,USA,162382
Machine Learning Engineer,7,Diploma,20,Consulting,Enterprise,India,72838
Backend Developer,3,Bachelor,17,Technology,Medium,India,42128
Product Manager,2,Bachelor,16,Media,Large,USA,177626
Backend Developer,16,Master,18,Healthcare,Medium,UK,304500
Software Engineer,6,Bachelor,7,Finance,Large,India,76317
Software Engineer,5,Bachelor,1,Technology,Large,India,50730
Business Analyst,7,Bachelor,1,Finance,Enterprise,Netherlands,128900
Data Scientist,7,Diploma,18,Telecom,Enterprise,India,39137
AI Engineer,3,Master,4,Technology,Large,USA,338784
Software Engineer,8,Master,20,Finance,Large,Singapore,254805
Software Engineer,1,Bachelor,20,Education,Large,Germany,139771
Software Engineer,7,Bachelor,4,Education,Medium,USA,159839
DevOps Engineer,3,Master,6,Manufacturing,Medium,India,48741
Software Engineer,11,Diploma,3,Consulting,Large,Canada,182174
Data Scientist,3,Bachelor,6,Finance,Medium,USA,144763
Data Analyst,9,Master,13,Technology,Medium,Australia,121207
Cloud Engineer,6,Master,7,Technology,Large,Canada,247272
Software Engineer,8,Diploma,4,Consulting,Medium,UK,107215
AI Engineer,5,Diploma,1,Technology,Medium,Singapore,278034
Software Engineer,0,Diploma,6,Consulting,Enterprise,USA,104116
AI Engineer,10,Bachelor,5,Technology,Large,USA,257189
Data Analyst,11,Master,13,Technology,Medium,USA,183889
Machine Learning Engineer,3,Master,19,Consulting,Small,India,33222
Product Manager,2,Bachelor,4,Technology,Large,Australia,157176
Backend Developer,9,Master,6,Healthcare,Medium,Canada,179423
Software Engineer,6,Diploma,13,Education,Large,USA,149284
Machine Learning Engineer,4,Bachelor,5,Technology,Large,UK,177952
Software Engineer,7,Bachelor,13,Technology,Large,India,58768
DevOps Engineer,3,Master,10,Education,Large,Canada,148292
Software Engineer,11,Bachelor,3,Technology,Small,UK,171524
Software Engineer,3,Bachelor,13,Technology,Large,UK,94879
Data Scientist,9,Master,12,Technology,Large,UK,199334
Data Analyst,5,Master,4,Consulting,Large,Germany,103117
Backend Developer,6,Diploma,10,Telecom,Enterprise,India,38375
Backend Developer,15,Diploma,3,Technology,Medium,USA,178790
Software Engineer,3,Bachelor,17,Healthcare,Medium,Sweden,110790
Data Analyst,8,Bachelor,9,Media,Small,USA,140667
Business Analyst,13,Bachelor,1,Media,Small,UK,119930
Product Manager,8,High School,18,Technology,Enterprise,India,55937
Software Engineer,11,Bachelor,9,Technology,Medium,Germany,166461
Backend Developer,5,Master,20,Finance,Large,India,53576
Software Engineer,8,Diploma,9,Technology,Startup,USA,165128
DevOps Engineer,9,Bachelor,2,Healthcare,Medium,Netherlands,146734
Business Analyst,5,Master,19,Media,Enterprise,India,40546
Product Manager,2,Master,16,Government,Large,UK,217046
Software Engineer,2,Master,3,Telecom,Medium,USA,127685
DevOps Engineer,14,PhD,16,Consulting,Enterprise,USA,350000
Cloud Engineer,13,Diploma,13,Technology,Enterprise,USA,281830
Software Engineer,2,Master,3,Technology,Startup,Singapore,104604
DevOps Engineer,11,Master,10,Education,Enterprise,Sweden,294785
DevOps Engineer,7,Diploma,18,Finance,Medium,India,48078
Software Engineer,5,Diploma,6,Manufacturing,Large,USA,197035
DevOps Engineer,2,Bachelor,6,Technology,Large,Canada,162831
Data Analyst,4,High School,18,Technology,Large,Australia,97276
Software Engineer,2,Diploma,6,Manufacturing,Large,Netherlands,99012
Software Engineer,4,Bachelor,6,Telecom,Large,USA,163249
Software Engineer,2,PhD,13,Technology,Medium,UK,146449
Backend Developer,1,Bachelor,14,Healthcare,Medium,India,36872
Software Engineer,11,Bachelor,7,Retail,Large,USA,278366
Software Engineer,4,Bachelor,13,Technology,Small,UK,126607
Data Analyst,6,Diploma,15,Finance,Medium,Canada,80641
Business Analyst,3,Master,12,Technology,Enterprise,USA,141904
Cybersecurity Analyst,4,Bachelor,1,Government,Medium,Netherlands,151458
Cybersecurity Analyst,2,Bachelor,3,Technology,Large,USA,124647
Backend Developer,14,Bachelor,18,Technology,Large,India,67191
AI Engineer,9,Bachelor,8,Technology,Startup,USA,244147
Data Analyst,3,Master,2,Technology,Small,USA,127615
Software Engineer,2,Bachelor,4,Technology,Small,USA,134512
Software Engineer,1,Bachelor,18,Technology,Medium,India,32120
Business Analyst,5,Bachelor,13,Telecom,Small,Germany,70261
Backend Developer,8,Master,15,Consulting,Small,Canada,135750
Cloud Engineer,8,Bachelor,2,Consulting,Large,USA,274839
Backend Developer,3,PhD,10,Government,Enterprise,India,34836
Cybersecurity Analyst,4,Master,2,Technology,Small,Canada,138480
DevOps Engineer,2,Bachelor,12,Education,Large,India,42424
Business Analyst,2,Bachelor,5,Technology,Startup,Canada,85368
Backend Developer,11,Bachelor,12,Technology,Large,UK,237691
Software Engineer,0,Bachelor,1,Retail,Large,Canada,98410
Software Engineer,0,High School,2,Finance,Large,Australia,91021
Backend Developer,2,Bachelor,16,Technology,Enterprise,Germany,145937
Data Analyst,14,Bachelor,2,Technology,Medium,Australia,137552
Software Engineer,5,Master,16,Finance,Enterprise,UK,192286
Software Engineer,22,Diploma,20,Technology,Startup,USA,174730
Product Manager,3,Master,16,Technology,Startup,USA,89995
AI Engineer,8,Bachelor,6,Technology,Medium,Singapore,153300
Data Analyst,10,Bachelor,13,Education,Large,USA,187360
Data Analyst,19,Master,12,Finance,Startup,Remote,203436
Software Engineer,3,High School,10,Finance,Large,USA,134459
DevOps Engineer,5,Diploma,5,Technology,Enterprise,UK,114978
Backend Developer,4,Bachelor,8,Technology,Large,USA,278427
Backend Developer,8,Bachelor,6,Technology,Medium,USA,222780
Software Engineer,13,Bachelor,5,Finance,Medium,Remote,158338
DevOps Engineer,13,Master,20,Consulting,Small,USA,201735
Machine Learning Engineer,2,Bachelor,6,Consulting,Enterprise,Sweden,132271
Data Scientist,2,Bachelor,17,Technology,Medium,USA,158756
Machine Learning Engineer,8,Master,6,Media,Small,USA,185892
Software Engineer,1,Bachelor,17,Technology,Medium,UK,124536
Machine Learning Engineer,8,Diploma,5,Finance,Medium,Remote,191972
DevOps Engineer,5,Bachelor,17,Telecom,Medium,Germany,166730
Data Analyst,12,Diploma,17,Healthcare,Medium,USA,165360
Backend Developer,10,Bachelor,13,Technology,Large,UK,219633
Software Engineer,5,Master,7,Consulting,Medium,Netherlands,125771
Software Engineer,1,Bachelor,6,Media,Small,UK,176393
Software Engineer,1,Bachelor,14,Healthcare,Medium,India,40200
Software Engineer,5,High School,16,Technology,Medium,USA,150482
DevOps Engineer,7,High School,3,Technology,Large,Netherlands,151305
Software Engineer,3,Bachelor,9,Finance,Enterprise,USA,200745
Backend Developer,2,Bachelor,15,Consulting,Enterprise,USA,152887
Cybersecurity Analyst,4,Bachelor,18,Technology,Medium,USA,202848
Software Engineer,12,Bachelor,10,Consulting,Large,Singapore,222994
Cybersecurity Analyst,4,Bachelor,10,Government,Medium,USA,208099
Backend Developer,3,Bachelor,3,Technology,Enterprise,India,40526
Frontend Developer,1,Diploma,1,Telecom,Medium,USA,123535
Backend Developer,4,Master,3,Technology,Enterprise,Sweden,177442
Software Engineer,10,Bachelor,5,Technology,Large,Australia,194516
Data Scientist,11,Master,7,Government,Large,USA,350000
Software Engineer,2,Bachelor,3,Technology,Medium,USA,156943
Backend Developer,5,Bachelor,4,Technology,Large,Canada,146993
Data Analyst,2,Bachelor,17,Healthcare,Medium,Remote,100259
Software Engineer,3,Master,3,Consulting,Medium,India,37593
Software Engineer,4,Bachelor,4,Technology,Large,Canada,157503
Software Engineer,3,PhD,2,Manufacturing,Large,USA,238553
Software Engineer,14,PhD,14,Technology,Large,Netherlands,285501
Frontend Developer,3,PhD,5,Media,Medium,India,42360
Data Scientist,2,Bachelor,2,Education,Large,USA,171802
Backend Developer,2,Bachelor,15,Technology,Medium,Germany,118510
DevOps Engineer,1,High School,11,Technology,Large,Netherlands,111901
Machine Learning Engineer,15,Bachelor,10,Telecom,Large,USA,229808
Software Engineer,4,Bachelor,20,Manufacturing,Enterprise,Canada,190284
Software Engineer,7,PhD,1,Technology,Medium,Germany,178762
Software Engineer,6,Bachelor,19,Manufacturing,Large,India,54543
Backend Developer,3,Bachelor,14,Technology,Medium,UK,132898
Software Engineer,4,Master,14,Technology,Large,Germany,182391
Backend Developer,8,Bachelor,1,Telecom,Enterprise,USA,208886
Data Analyst,1,Bachelor,9,Finance,Enterprise,India,33428
Product Manager,3,Bachelor,17,Technology,Medium,USA,214798
DevOps Engineer,4,PhD,14,Finance,Medium,Germany,156713
Data Scientist,3,High School,13,Consulting,Large,USA,162716
AI Engineer,3,Master,13,Technology,Large,Canada,180970
Data Scientist,5,Bachelor,6,Retail,Large,USA,223140
Frontend Developer,12,Diploma,7,Technology,Startup,USA,114837
Software Engineer,6,Diploma,2,Finance,Large,India,39541
Software Engineer,2,Bachelor,8,Technology,Enterprise,Netherlands,144776
Frontend Developer,25,Diploma,6,Finance,Large,USA,350000
DevOps Engineer,12,Master,3,Technology,Startup,USA,193720
Data Scientist,3,Bachelor,18,Healthcare,Medium,USA,199711
Software Engineer,12,Bachelor,18,Media,Enterprise,India,78750
Product Manager,5,Bachelor,6,Telecom,Enterprise,USA,221761
Product Manager,1,Bachelor,11,Technology,Large,USA,151585
Software Engineer,11,Diploma,3,Technology,Medium,Netherlands,142424
Data Scientist,2,Bachelor,16,Manufacturing,Startup,USA,127756
Software Engineer,7,Diploma,5,Finance,Large,Netherlands,125102
Business Analyst,5,Master,2,Technology,Large,Sweden,124483
Frontend Developer,7,Master,15,Technology,Medium,USA,236548
Software Engineer,15,Diploma,16,Consulting,Enterprise,USA,225374
Software Engineer,4,Bachelor,7,Technology,Small,USA,120921
Business Analyst,1,Bachelor,16,Technology,Large,UK,87520
Backend Developer,2,PhD,4,Technology,Medium,Remote,137212
DevOps Engineer,1,Bachelor,16,Healthcare,Large,Singapore,183692
Software Engineer,1,Bachelor,17,Technology,Large,USA,151540
Software Engineer,10,Bachelor,2,Government,Large,Germany,165351
Backend Developer,5,Diploma,16,Finance,Medium,India,42501
Backend Developer,4,Bachelor,4,Telecom,Small,Netherlands,112796
Data Analyst,3,Bachelor,7,Technology,Enterprise,Canada,153044
Business Analyst,9,High School,18,Technology,Enterprise,UK,92985
Frontend Developer,13,Bachelor,6,Technology,Small,India,47345
Data Scientist,2,Bachelor,18,Technology,Startup,Germany,102990
Software Engineer,7,High School,7,Technology,Enterprise,Netherlands,162143
Software Engineer,10,Bachelor,2,Technology,Large,Australia,216325
Business Analyst,6,High School,19,Technology,Large,Canada,94386
Data Analyst,8,Bachelor,9,Manufacturing,Enterprise,USA,174041
Software Engineer,1,PhD,4,Technology,Enterprise,USA,196213
Machine Learning Engineer,14,Diploma,14,Retail,Large,Singapore,177022
Backend Developer,9,Master,5,Finance,Enterprise,India,61722
Frontend Developer,7,Master,7,Manufacturing,Large,Sweden,196361
Data Scientist,9,Bachelor,8,Retail,Enterprise,USA,270924
Software Engineer,3,Bachelor,15,Technology,Enterprise,UK,165378
Business Analyst,2,High School,19,Retail,Enterprise,India,25000
Software Engineer,1,Bachelor,11,Education,Startup,USA,125511
DevOps Engineer,1,Master,20,Technology,Medium,USA,159573
Data Scientist,6,Bachelor,4,Technology,Medium,UK,128358
AI Engineer,3,Master,18,Technology,Large,USA,294802
Software Engineer,13,Master,14,Technology,Medium,USA,324863
Software Engineer,11,Bachelor,6,Technology,Large,UK,185460
Backend Developer,9,Bachelor,16,Technology,Large,USA,236228
Cybersecurity Analyst,7,Diploma,18,Government,Enterprise,USA,224609
Data Analyst,2,Master,1,Technology,Small,USA,78200
Data Scientist,3,Diploma,8,Finance,Large,USA,143504
Cloud Engineer,2,PhD,1,Government,Large,India,65175
Software Engineer,1,Diploma,1,Finance,Medium,India,25517
Software Engineer,4,Master,19,Consulting,Large,USA,258088
Frontend Developer,10,Master,10,Government,Medium,USA,155177
Machine Learning Engineer,4,Bachelor,18,Technology,Medium,India,54378
Backend Developer,2,Diploma,12,Finance,Large,USA,134970
Frontend Developer,4,Bachelor,17,Technology,Small,UK,106742
Data Scientist,5,Bachelor,1,Technology,Enterprise,USA,310231
AI Engineer,3,Bachelor,8,Media,Medium,UK,132018
Software Engineer,4,Master,10,Technology,Large,Netherlands,166273
Product Manager,24,Master,10,Finance,Enterprise,Canada,350000
Data Analyst,1,Bachelor,18,Healthcare,Enterprise,UK,167263
